"State Green has a statute providing as follows: Any judgment properly filed shall, for 10 years from the date of filing, be a lien on the real property then owned or subsequently acquired by any person against whom the judgment is rendered. Oscar conveyed Birchacre, located in State Green, to Allen, who had had a judgment lien recorded against him two years earlier in the county in which Birchacre was located. One year later, Allen conveyed the property to Brenda by general warranty deed. The deed did not mention the lien, but Brenda was aware of it. Two years later, Brenda conveyed Birchacre to Carla by special warranty deed. Carla was not aware of the lien and her deed also made no mention of it. One year after that transaction, Carla conveyed Birchacre to Dave by general warranty deed. Dave's deed did not mention the lien but Dave was aware of it. The next year, Dave entered into a contract to convey Birchacre to Edgar. Edgar's title search disclosed the judgment lien against Allen, and Edgar refused to proceed with the transaction because title was not marketable. Dave brought an action against Edgar for specific performance and was denied relief. He then brought an action against Allen, Brenda, and Carla for breach of warranty. Assume for purposes of this question that all transactions concerning Birchacre were promptly and properly recorded, and that the party holding the judgment lien has taken no action as of yet to enforce it. Which parties, if any, will be liable to Dave?","No one, because Dave had actual knowledge of the lien when he purchased Birchacre.","Carla only, because the party holding the judgment lien has taken no action as of yet to enforce it.","Carla and Allen, because Brenda conveyed by special warranty deed.","Brenda and Allen, because they were aware of the judgment lien but did not mention it in their deeds, but not Carla, because she was not aware of the lien. ",B
"A standard commercial unit for widgets is one gross, i.e., 144 widgets. Buyer ordered from Seller 50 gross of widgets at $ 100$ per gross, with the widgets to be delivered on or before October 3. On September 15, 50 boxes arrived from Seller. Each box was labeled, ""Widgetsone gross."" On finding that one of the boxes contains 143 widgets, Buyer considered whether to: I. Seek cover. II. Immediately sue for breach. III. Reject the entire shipment of widgets. Which of the above can Buyer do?",I. and III. only.,I. and II. only.,III. only.,"I., II., and III.",C
"Trease owned Hilltop in fee simple. By his will, he devised as follows: ""Hilltop to such of my grandchildren who shall reach the age of 21 ; and by this provision I intend to include all grandchildren whenever born."" At the time of his death, Trease had three children and two grandchildren. Courts hold such a devise valid under the common law Rule Against Perpetuities. What is the best explanation of that determination?",All of Trease's children would be measuring lives.,The rule of convenience closes the class of beneficiaries when any grandchild reaches the age of 21 . ,There is a presumption that Trease intended to include only those grandchildren born prior to his death.,There is a subsidiary rule of construction that dispositive instruments are to be interpreted so as to uphold interests rather than to invalidate them under the Rule Against Perpetuities.,A
"Mrs. Ritter, a widow, recently purchased a new uncrated electric range for her kitchen from Local Retailer. The range has a wide oven with a large oven door. The crate in which Stove Company, the manufacturer, shipped the range carried a warning label that the stove would tip over with a weight of 25 pounds or more on the oven door. Mrs. Ritter has one child-Brenda, age three. Recently, at about 5:30 p.m., Brenda was playing on the floor of the kitchen while Mrs. Ritter was heating water in a pan on the stove. The telephone rang and Mrs. Ritter went into the living room to answer it. While she was gone Brenda decided to find out what was cooking. She opened the oven door and climbed on it to see what was in the pan. Brenda's weight ( 25 pounds) on the door caused the stove to tip over forward. Brenda fell to the floor and the hot water spilled over her, burning her severely. Brenda screamed. Mrs. Ritter ran to the kitchen and immediately gave her first aid treatment for burns. Brenda thereafter received medical treatment. Brenda's burns were painful. They have now healed and do not bother her, but she has ugly scars on her legs and back. Brenda's claim is asserted on her behalf by the proper party. If Brenda asserts a claim based on strict liability against Stove Company, she must establish that:",The defendant negligently designed the stove.,Stoves made by other manufacturers do not turn over with a 25-pound weight on the oven door.,The defendant failed to warn the Ritters that the stove would turn over easily.,The stove was defective and unreasonably dangerous to her. ,D
"Parker was a guest at Hotel, located about 200 miles from his home. After Parker had spent two nights at Hotel, he received a call at 5 a.m. from his wife, who told him that their child had just been rushed to the hospital and was in critical condition. Parker decided to hurry home. He called the airport and reserved space on the next flight out, scheduled to leave at $6: 15$ a.m. Parker packed and rushed to the lobby. However, it happened that a number of guests were checking out early that morning, and thus there was a long line ahead of him and only one cashier on duty. Parker hoped that the line would move quickly, but when he heard the first guest in line arguing with Stockton, the desk clerk, over a $25 / otin$ telephone charge, he realized that he would never make it to the airport in time if he continued to wait in line. The hotel had no express check-out service available, so he left without paying his bill and flew home. As soon as Parker's child was out of danger, he wrote a letter to Hotel, apologizing for his swift departure and enclosing payment for two nights' lodging; he also added an extra $ 25$ ""to cover any inconvenience and billing expense"" he may have caused. Meanwhile, Stockton discovered that Parker had left without paying. On Hotel's behalf, Stockton signed a complaint with the state police, charging Parker with theft of services. The police went to the appropriate magistrate, and a warrant was sworn out for Parker's arrest. The day after Parker left Hotel, Hotel received Parker's letter and payment. However, no one notified the police that Parker had paid his bill. Three days after Parker left Hotel, the state police, armed with a warrant, came to Parker's office and arrested him. Despite Parker's objections, he was taken to jail. Although he repeatedly told the police that he had paid his bill and suggested that they call Hotel, they refused to do so. After holding Parker for 18 hours, the police called Hotel. The manager told the police, ""Yes, we got Parker's check two days ago, but we were too busy to call you."" The police, with apologies, released Parker. Parker sued Hotel and the state police for false imprisonment. In Parker's action against Hotel, who will prevail?","Hotel, because Hotel reasonably believed that Parker stole services. ","Hotel, because the police were not employees of Hotel.","Parker, because Hotel failed to promptly notify the police that Hotel had received Parker's check.","Parker, because Hotel failed to have an adequate number of cashiers on duty when Parker wanted to check out.",B
"All lawyers practicing in the state of Erewhon must be members of the State Bar Association, by order of the state supreme court. Several state officials serve on the Bar Association's Board of Bar Governors. The Board of Bar Governors authorizes the payment of dues for two staff members to the Cosmopolitan Club, a private dining club licensed to sell alcoholic beverages. The Cosmopolitan Club is frequented by affluent businessmen and professionals and by legislators. It is generally known that the purpose of the membership of the Bar Association staff is to enable them to go where members of the ""elite"" meet and to lobby for legislation in which the Bar Association is interested. The State Association has numerous committees and subcommittees concerned with family law, real estate law, unauthorized practice, etc., and its recommendations often influence state policy. Some committee meetings are held at the Cosmopolitan Club. The club is known to have rules which restrict membership by race, religion, and sex. Plaintiffs, husband and wife, who are members of the Erewhon Bar Association, petition the Board of Bar Governors to adopt a resolution prohibiting the payment of club dues to and the holding of meetings of the Bar Association or its committees at places that discriminate on the basis of race, religion, or sex. After substantial public discussion, the Board of Bar Governors, by a close vote, fails to pass such a resolution. These events receive extensive coverage in the local newspapers. Plaintiffs bring an action in federal court seeking an injunction against such payments and the holding of meetings in such places as the Cosmopolitan Club. Which of the following actions should a federal district court take with respect to jurisdiction?","Hear the case on the merits, because a federal claim is presented.","Hear the case on the merits, because the expenditure of state funds in support of segregation is forbidden by the Fifth Amendment.","Abstain from jurisdiction, because the constitutional issue should be litigated first in a state court.","Dismiss the case for lack of jurisdiction, because the issue of Bar Association activities is solely within the domain of state law.",A
In which of the following situations is Defendant least likely to be guilty of burglary in a jurisdiction that has extended burglary to buildings other than dwellings but otherwise retains the common law requirements?,"Defendant posed as a member of a cleaning crew so that a security guard would give him access to a department store after it was closed for the night, and then hid in a storage closet until the cleaning crew left. He then stole a quantity of jewelry from several jewelry cases, and forced open a loading dock door to escape from the building.","Defendant, intending to steal money and valuables from a house he believed was unoccupied for the evening, pushed open a mail slot and reached his hand in to try to unlock the front door. The owners' dog bit Defendant's hand and he immediately pulled it out and fled.","Defendant was owed $ 500$ by Victor, his bookie. While Victor was out of town one night, Defendant went to Victor's house to get his money, because he knew that Victor had $ 500$ in cash in a desk drawer and the debt was long overdue. Defendant opened an unlocked window and entered the house. He could not find the cash, so he decided to take a painting that he knew was worth substantially more than $ 500$. He later sold it for $ 1,000$ and kept the proceeds.","Defendant, a security officer in a housing project, saw Von, who was wanted on a warrant for drug dealing, through a window of an apartment one evening. He fired his gun at Von from the sidewalk, intending to injure him, although Defendant knew that he was not legally authorized to use deadly force in that situation. The bullet went through the window and missed Von, lodging in a wall behind him.",C
"Baxter was heavily in debt and was concerned that his home was about to be repossessed. To try to generate money to satisfy his creditors, Baxter promised to pay his friend Dunn $ 100$ if Dunn would enter Baxter's house that evening and take his expensive color television and stereo. Baxter explained that he would then report the items as being stolen to the insurance company and collect a settlement from them. Baxter gave Dunn directions to his home, which was one of several tract houses in a fairly new development. Baxter told Dunn to arrive at approximately 9 p.m. and to enter through a window at the rear of the house that Baxter would leave ajar. Dunn knew that since Baxter lived alone, there was no possibility that he might find someone within the house when he arrived at the appointed time. Dunn arrived at the location at approximately 9 p.m., but due to the darkness of the evening and the fact that all of the homes in the development looked the same, he mistakenly entered the house belonging to Baxter's neighbor. He found a window ajar at the rear of the neighbor's home and pushed it open. He entered and took the neighbor's television set and stereo. When he returned to the bar where Baxter was waiting for him, both men were arrested by the police. If Baxter and Dunn are tried for conspiracy, the court will most likely find them:","Not guilty, because Dunn failed to take Baxter's property.","Not guilty, because Dunn, being in the wrong house, could not take Baxter's property.","Guilty, because they actually took the neighbor's property.","Guilty, because they intentionally agreed to defraud the insurance company.",D
"On January 1, Fred executed and delivered a deed to his daughter, Diane, conveying his avocado ranch as follows: ""To Diane for life, but if Diane dies survived by her spouse and children, then to Diane's spouse for life, with the remainder in fee simple to Diane's children; but if Diane dies survived by her spouse and no children, then to my son Sam in fee simple."" On June 15, Diane married George and as a wedding gift Fred quitclaimed his interest in the avocado ranch to George. Assume that the jurisdiction does not follow the doctrine of destructibility of contingent remainders. Assume for the purposes of this question only that Diane died survived by George and two children, Ann and Bradley. Bradley dies intestate two days after Diane, leaving one child, Curtis, as his only heir. What are the respective interests of George, Ann, and Curtis in the avocado ranch?","George has a life estate, Ann has an absolutely vested remainder, and Curtis has nothing. ","George has fee simple ownership of the ranch, and Ann and Curtis have nothing.","George has a life estate, and Ann and Curtis have absolutely vested remainders.","George has a life estate, and Ann has a vested remainder subject to open.",C
"Penelope was injured when the car she was driving was struck by a truck owned by Deeco and driven by Deeco's employee, Albert. Albert was just finishing his deliveries for Deeco when the accident occurred. At the scene of the accident, Walter, a bystander, heard Albert say, ""I can't believe it ... I shouldn't have had all those beers."" Penelope sued Deeco for her injuries and asked Walter to testify at trial as to Albert's statement. Walter's testimony should be ruled:","Admissible, as a statement against interest.","Admissible, as an admission of a partyopponent.","Admissible, as an excited utterance.","Inadmissible, as hearsay.",B
"Parents purchased a new mobile home from Seller. The mobile home was manufactured by Mobilco and had a ventilating system designed by Mobilco with both a heating unit and an air conditioner. Mobilco installed a furnace manufactured by Heatco and an air conditioning unit manufactured by Coolco. Each was controlled by an independent thermostat installed by Mobilco. Because of the manner in which Mobilco designed the ventilating system, the first time the ventilating system was operated by Parents, cold air was vented into Parents' bedroom to keep the temperature at $68^{\circ}$ $\mathrm{F}\left(20^{\circ} \mathrm{C}\right)$. The cold air then activated the heater thermostat, and hot air was pumped into the bedroom of Child, the six-month-old child of Parents. The temperature in Child's room reached more than $170^{\circ} \mathrm{F}\left(77^{\circ} \mathrm{C}\right)$ before Child's mother became aware of the condition and shut the system off manually. As a result, Child suffered permanent physical injury. Claims have been asserted by Child, through a duly appointed guardian, against Mobilco, Seller, Heatco, and Coolco. If Child's claim against Seller is based on negligence, the minimum proof necessary to establish Seller's liability is that the ventilating system:",Was defective.,Was defective and had not been inspected by Seller.,"Was defective and had been inspected by Seller, and the defect was not discovered.","Was defective, and the defect would have been discovered if Seller had exercised reasonable care in inspecting the system.",D
